Sheep Count, Grass Count
100,100
100,200
100,300
100,399
100,499
100,599
100,698
100,797
100,897
100,997
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
94,1000
